"logFC" "t" "P.Value" "adj.P.Val" "B"
"Col6a2" 2.13873181818092 8.40347975003199 3.84847727038224e-11 2.53951791449314e-09 15.0962436519102
"Ano6" 0.757548493008649 8.40916821992561 3.77178693074679e-11 2.50965272904565e-09 15.090690024097
"Pttg1ip" 0.608936922162551 8.40415100713929 3.83934650514644e-11 2.53951791449314e-09 14.9838103885513
"Lama5" 1.18167510952821 8.33633152619412 4.88163584403931e-11 3.16889604851479e-09 14.9225332031577
"Slc6a20" 2.91534672717607 8.30351949373773 5.48388604306359e-11 3.5028870488673e-09 14.8959679883222
"Emilin1" 1.2930184546314 8.30412643416128 5.47209385357146e-11 3.5028870488673e-09 14.8057218021694
"Yap1" 0.955350012235689 8.28673945972785 5.8202284817152e-11 3.65993812231729e-09 14.7971223231982
"Lrrtm3" -0.901292102908245 -8.34381884083622 4.75380992791099e-11 3.09851390770655e-09 14.7944607637633
"Fbln1" 2.20786446461693 8.30435120174279 5.46773334194287e-11 3.5028870488673e-09 14.7696588144337
"Sh3rf2" 3.2611646891188 8.36437856946093 4.41986275884969e-11 2.89265526213404e-09 14.7485288735712
"Slc13a3" 2.24667863026163 8.30034420931366 5.54599645165626e-11 3.52844690583661e-09 14.7447080637073
"Cckbr" -1.0328637560457 -8.28782079723251 5.79794136781321e-11 3.65993812231729e-09 14.7174357073297
"Efemp1" 3.67271387884288 8.24735205598012 6.6935752999489e-11 4.12701559709977e-09 14.7055031009102
"Msn" 0.904959377740144 8.28668124395852 5.82143079133691e-11 3.65993812231729e-09 14.7023668108275
"Myh11" 1.59739168607823 8.2436789270627 6.78145904088588e-11 4.16511997784256e-09 14.6442709276586
